,name,SNR,Loss,unet_train,gat_use_conv,gat_snr_lower,unet_refinement
0,gat_unet_train_snr--15_epochs20_3,9.64858808498,606.344758292,True,True,-15,True
1,gat_unet_train_snr--10_epochs20_3,10.8319875978,546.205328314,True,True,-10,True
2,conv_gat_unet_train_snr--15_epochs20_after_20,10.0808287932,604.43879955,True,True,-15,True
3,gat_unet_train_snr-0_epochs20_after_20,13.1629648494,412.237447637,True,True,0,True
4,conv_gat_unet_train_snr--10_epochs20_after_20,10.9023358244,547.510977482,True,True,-10,True
5,gat_unet_train_snr--5_epochs20_after_20,12.104111561,469.85521001,True,True,-5,True
6,conv_gat_unet_train_snr--5_epochs20_after_20,12.8071002003,442.306534675,True,True,-5,True
7,gat_unet_train_snr--10_epochs20_after_20,11.0244716989,528.960375473,True,True,-10,True
8,conv_gat_unet_train_snr-0_epochs20_after_20,13.8700632646,385.416746253,True,True,0,True
9,gat_unet_train_snr--15_epochs20_after_20,10.0286558869,606.014732889,True,True,-15,True
10,conv_gat_unet_snr--20_epochs10_2,4.69732257004,1086.88857991,False,True,-20,True
11,gat_unet_train_snr--5_epochs20_3,12.8481880988,428.151126978,True,True,-5,True
12,gat_unet_train_snr-0_epochs20_3,13.4328491053,406.185083655,True,True,0,True
13,gat_unet_train_snr--15_epochs10_2,9.62318648359,633.451826189,True,True,-15,True
14,conv_gat_unet_train_snr--15_epochs20_3,9.25056211089,668.064151242,True,True,-15,True
15,conv_gat_unet_train_snr--10_epochs20_3,11.4046881162,509.061859163,True,True,-10,True
16,conv_gat_unet_train_snr--5_epochs20_3,12.3239346369,460.338153785,True,True,-5,True
17,conv_gat_unet_train_snr-0_epochs20_3,13.6783771834,395.369858226,True,True,0,True
18,gat_unet_train_snr--10_epochs10_2,11.4557079167,502.036915143,True,True,-10,True
19,gat_unet_snr--15_epochs10_2,5.66110222023,973.555105365,False,True,-15,True
20,gat_unet_snr--10_epochs10_2,6.59573335509,875.428151244,False,True,-10,True
21,gat_unet_snr-0_epochs10_2,8.39334608538,704.468683243,False,True,0,True
22,conv_gat_unet_train_snr--15_epochs10_2,9.54818360736,638.016022135,True,True,-15,True
23,conv_gat_unet_train_snr--10_epochs10_2,11.4331226409,509.89549762,True,True,-10,True
24,conv_gat_unet_snr--15_epochs10_2,5.1484298211,1039.52413246,False,True,-15,True
25,conv_gat_unet_snr--10_epochs10_2,6.65711633826,872.497070074,False,True,-10,True
26,conv_gat_unet_snr-0_epochs10_2,8.308959428,728.065960334,False,True,0,True
27,gat_unet_snr--15_epochs10_1,,,False,True,-15,True
28,conv_gat_unet_snr--15_epochs10_1,5.53501211662,993.25592624,False,True,-15,True
29,gat_snr--10,6.6375816219,876.021584488,False,False,-10,False
30,conv_gat_unet_snr--20_epochs10_1,4.62557915491,1091.39310801,False,True,-20,True
31,gat_snr--15,5.31823050209,1024.59558117,False,False,-15,False
32,gat_unet_snr--5_epochs10_1,,,False,True,-5,True
33,conv_gat_unet_snr--10_epochs10_1,6.80978496338,858.322652517,False,True,-10,True
34,gat_unet_snr--5_epochs10_2,7.48706293003,788.718246396,False,True,-5,True
35,conv_gat_unet_snr--5_epochs10_1,7.46695202114,789.267490575,False,True,-5,True
36,gat_unet_train_snr--5_epochs10_2,12.0741943138,469.169939936,True,True,-5,True
37,conv_gat_unet_train_snr--5_epochs10_2,12.5225507575,450.086586585,True,True,-5,True
38,gat_unet_snr--10_epochs10_1,,,False,True,-10,True
39,conv_gat_unet_snr--5_epochs10_2,7.5182067964,787.509815599,False,True,-5,True
40,conv_gat_snr--15,6.14844222446,921.181655853,False,True,-15,False
41,gat_unet_snr--20_epochs10_1,,,False,True,-20,True
42,conv_gat_snr--10,7.17206903188,818.142217709,False,True,-10,False
43,conv_gat_snr--5,9.06843252797,661.036826635,False,True,-5,False
44,gat_snr--5,7.88915474178,755.234601845,False,False,-5,False
45,conv_gat_snr-0,10.0520224889,595.470963268,False,True,0,False
46,conv_gat_unet_train_snr-0_epochs10_2,13.4264954243,403.521209114,True,True,0,True
47,conv_gat_unet_snr-0_epochs10_1,8.17788683252,730.904258106,False,True,0,True
48,gat_unet_train_snr-0_epochs10_2,13.3431957002,413.782879475,True,True,0,True
49,gat_snr-0,9.3563088423,638.538797536,False,False,0,False
