,name,SNR,Loss,unet_train,gat_use_conv,gat_snr_lower,unet_refinement
0,conv_gat_unet_train_snr--25_epochs100_2,3.77053242326,1327.60821289,True,True,-25.0,True
1,conv_gat_unet_train_snr--20_epochs100_2,6.71338687658,904.529700012,True,True,-20.0,True
2,conv_gat_unet_train_snr--20_trained_-15,1.51434605811,1670.43075684,,True,,True
3,gat_unet_train_snr--15_epochs100_2,8.26063472748,741.930253296,True,True,-15.0,True
4,conv_gat_unet_train_snr--15_epochs100_2,7.32580335617,846.959906006,True,True,-15.0,True
5,gat_unet_train_snr--10_epochs100_2,9.67630125046,625.679041748,True,True,-10.0,True
6,conv_gat_unet_train_snr--10_epochs100_2,7.33530979633,854.242427063,True,True,-10.0,True
7,gat_unet_train_snr--5_epochs100_2,10.8473734713,546.410180969,True,True,-5.0,True
8,conv_gat_unet_train_snr--5_epochs100_2,10.3101113796,588.895777893,True,True,-5.0,True
9,gat_unet_train_snr-0_epochs100_2,11.8759339333,488.486005249,True,True,0.0,True
10,conv_gat_unet_train_snr-0_epochs100_2,11.9439875507,485.406383667,True,True,0.0,True
11,gat_unet_snr--15_epochs100_2,5.07112948418,1048.2190564,False,True,-15.0,True
12,conv_gat_unet_snr--15_epochs100_2,4.87020288944,1071.0830719,False,True,-15.0,True
13,gat_unet_snr--10_epochs100_2,6.01486195564,938.052345581,False,True,-10.0,True
14,conv_gat_unet_snr--10_epochs100_2,5.74235517502,965.537938232,False,True,-10.0,True
15,gat_unet_snr--5_epochs100_2,6.39602517605,906.794676514,False,True,-5.0,True
16,conv_gat_unet_snr--5_epochs100_2,6.50488395691,885.610596313,False,True,-5.0,True
17,gat_unet_snr-0_epochs100_2,7.49424184322,789.6640448,False,True,0.0,True
18,conv_gat_unet_snr-0_epochs100_2,7.55144217968,782.39168457,False,True,0.0,True
19,gat_snr--15,5.01329612017,1061.33372864,False,False,-15.0,False
20,conv_gat_snr--15,5.75454828262,982.326957397,False,True,-15.0,False
21,conv_gat_snr--10,6.98537725925,838.032498779,False,True,-10.0,False
22,gat_snr--10,6.18675858498,931.748110962,False,False,-10.0,False
23,conv_gat_snr--5,8.06985012054,741.426563721,False,True,-5.0,False
24,gat_snr--5,6.94450781345,842.028843384,False,False,-5.0,False
25,conv_gat_snr-0,9.04505313396,664.053416138,False,True,0.0,False
26,gat_snr-0,8.31891013622,719.473855591,False,False,0.0,False
